year,jurisdiction,code,occupation,group,experience,deployment,displacement,reinstatement,netChange,employmentIndex,yoyChange,hiringChange
2026,United States,US,Administrative & clerical,Business services,Entry,0.31272,0.23724,0.00378,-0.23346,76.65394,-0.12511,-0.3132
2027,United States,US,Administrative & clerical,Business services,Entry,0.50443,0.38268,0.00759,-0.37509,62.49096,-0.18477,-0.40466
2028,United States,US,Administrative & clerical,Business services,Entry,0.68352,0.51855,0.01331,-0.50523,49.47693,-0.20825,-0.37183
2029,United States,US,Administrative & clerical,Business services,Entry,0.80581,0.61131,0.01966,-0.59166,40.83429,-0.17468,-0.24693
2030,United States,US,Administrative & clerical,Business services,Entry,0.87252,0.66193,0.02468,-0.63725,36.27526,-0.11165,-0.13026
2026,Singapore,SG,Administrative & clerical,Business services,Entry,0.2925,0.22974,0.00308,-0.22666,77.33441,-0.12818,-0.32487
2027,Singapore,SG,Administrative & clerical,Business services,Entry,0.49636,0.38986,0.00658,-0.38328,61.67248,-0.20252,-0.44748
2028,Singapore,SG,Administrative & clerical,Business services,Entry,0.69263,0.54402,0.01225,-0.53177,46.8226,-0.24079,-0.42428
2029,Singapore,SG,Administrative & clerical,Business services,Entry,0.82532,0.64823,0.01883,-0.62941,37.05919,-0.20852,-0.27895
2030,Singapore,SG,Administrative & clerical,Business services,Entry,0.89503,0.70299,0.02409,-0.6789,32.11037,-0.13354,-0.14139
2026,United Kingdom,UK,Administrative & clerical,Business services,Entry,0.22387,0.15458,0.00232,-0.15226,84.77409,-0.0793,-0.20861
2027,United Kingdom,UK,Administrative & clerical,Business services,Entry,0.38281,0.26433,0.00466,-0.25967,74.03255,-0.12671,-0.3069
2028,United Kingdom,UK,Administrative & clerical,Business services,Entry,0.56215,0.38816,0.0085,-0.37967,62.03339,-0.16208,-0.34283
2029,United Kingdom,UK,Administrative & clerical,Business services,Entry,0.71203,0.49165,0.01349,-0.47816,52.18411,-0.15877,-0.28141
2030,United Kingdom,UK,Administrative & clerical,Business services,Entry,0.80894,0.55857,0.01834,-0.54023,45.97735,-0.11894,-0.17734
2026,Canada,CA,Administrative & clerical,Business services,Entry,0.20074,0.14819,0.00206,-0.14613,85.38714,-0.07562,-0.19958
2027,Canada,CA,Administrative & clerical,Business services,Entry,0.34658,0.25584,0.00409,-0.25175,74.82496,-0.1237,-0.30178
2028,Canada,CA,Administrative & clerical,Business services,Entry,0.51964,0.38359,0.00749,-0.3761,62.38973,-0.16619,-0.35529
2029,Canada,CA,Administrative & clerical,Business services,Entry,0.67388,0.49745,0.01208,-0.48537,51.46301,-0.17514,-0.31219
2030,Canada,CA,Administrative & clerical,Business services,Entry,0.78002,0.5758,0.01682,-0.55899,44.10109,-0.14305,-0.21034
2026,United Arab Emirates,AE,Administrative & clerical,Business services,Entry,0.17156,0.1208,0.00168,-0.11912,88.08826,-0.06516,-0.17542
2027,United Arab Emirates,AE,Administrative & clerical,Business services,Entry,0.31516,0.22191,0.00361,-0.2183,78.17009,-0.11259,-0.28338
2028,United Arab Emirates,AE,Administrative & clerical,Business services,Entry,0.49072,0.34553,0.00709,-0.33844,66.15634,-0.15369,-0.34325
2029,United Arab Emirates,AE,Administrative & clerical,Business services,Entry,0.64406,0.4535,0.01204,-0.44146,55.85424,-0.15572,-0.29435
2030,United Arab Emirates,AE,Administrative & clerical,Business services,Entry,0.74334,0.5234,0.01716,-0.50624,49.37585,-0.11599,-0.1851
